,storey_range
105000,01 TO 03
105001,04 TO 06
105002,07 TO 09
105003,13 TO 15
105004,04 TO 06
105005,10 TO 12
105006,04 TO 06
105007,04 TO 06
105008,13 TO 15
105009,01 TO 03
105010,10 TO 12
105011,01 TO 03
105012,07 TO 09
105013,10 TO 12
105014,01 TO 03
105015,13 TO 15
105016,01 TO 03
105017,13 TO 15
105018,10 TO 12
105019,10 TO 12
105020,13 TO 15
105021,13 TO 15
105022,07 TO 09
105023,04 TO 06
105024,10 TO 12
105025,07 TO 09
105026,10 TO 12
105027,04 TO 06
105028,19 TO 21
105029,10 TO 12
105030,01 TO 03
105031,04 TO 06
105032,01 TO 03
105033,01 TO 03
105034,25 TO 27
105035,13 TO 15
105036,07 TO 09
105037,01 TO 03
105038,04 TO 06
105039,10 TO 12
105040,04 TO 06
105041,13 TO 15
105042,10 TO 12
105043,04 TO 06
105044,19 TO 21
105045,10 TO 12
105046,10 TO 12
105047,07 TO 09
105048,07 TO 09
105049,13 TO 15
105050,04 TO 06
105051,10 TO 12
105052,04 TO 06
105053,10 TO 12
105054,01 TO 03
105055,16 TO 18
105056,28 TO 30
105057,22 TO 24
105058,10 TO 12
105059,07 TO 09
105060,01 TO 03
105061,04 TO 06
105062,10 TO 12
105063,13 TO 15
105064,07 TO 09
105065,04 TO 06
105066,04 TO 06
105067,04 TO 06
105068,13 TO 15
105069,07 TO 09
105070,10 TO 12
105071,13 TO 15
105072,10 TO 12
105073,10 TO 12
105074,10 TO 12
105075,07 TO 09
105076,04 TO 06
105077,04 TO 06
105078,07 TO 09
105079,01 TO 03
105080,04 TO 06
105081,01 TO 03
105082,07 TO 09
105083,10 TO 12
105084,13 TO 15
105085,01 TO 03
105086,01 TO 03
105087,01 TO 03
105088,04 TO 06
105089,04 TO 06
105090,13 TO 15
105091,07 TO 09
105092,10 TO 12
105093,28 TO 30
105094,04 TO 06
105095,10 TO 12
105096,10 TO 12
105097,07 TO 09
105098,10 TO 12
105099,10 TO 12
105100,10 TO 12
105101,10 TO 12
105102,13 TO 15
105103,07 TO 09
105104,07 TO 09
105105,07 TO 09
105106,07 TO 09
105107,04 TO 06
105108,19 TO 21
105109,01 TO 03
105110,16 TO 18
105111,04 TO 06
105112,10 TO 12
105113,01 TO 03
105114,01 TO 03
105115,04 TO 06
105116,01 TO 03
105117,13 TO 15
105118,13 TO 15
105119,04 TO 06
105120,07 TO 09
105121,04 TO 06
105122,01 TO 03
105123,13 TO 15
105124,01 TO 03
105125,04 TO 06
105126,04 TO 06
105127,10 TO 12
105128,07 TO 09
105129,07 TO 09
105130,04 TO 06
105131,01 TO 03
105132,16 TO 18
105133,07 TO 09
105134,04 TO 06
105135,10 TO 12
105136,07 TO 09
105137,13 TO 15
105138,07 TO 09
105139,07 TO 09
105140,01 TO 03
105141,04 TO 06
105142,07 TO 09
105143,07 TO 09
105144,07 TO 09
105145,01 TO 03
105146,01 TO 03
105147,10 TO 12
105148,07 TO 09
105149,16 TO 18
105150,07 TO 09
105151,04 TO 06
105152,07 TO 09
105153,01 TO 03
105154,04 TO 06
105155,10 TO 12
105156,04 TO 06
105157,04 TO 06
105158,07 TO 09
105159,07 TO 09
105160,04 TO 06
105161,10 TO 12
105162,10 TO 12
105163,01 TO 03
105164,01 TO 03
105165,07 TO 09
105166,16 TO 18
105167,07 TO 09
105168,10 TO 12
105169,04 TO 06
105170,10 TO 12
105171,07 TO 09
105172,10 TO 12
105173,04 TO 06
105174,13 TO 15
105175,04 TO 06
105176,07 TO 09
105177,01 TO 03
105178,07 TO 09
105179,04 TO 06
105180,10 TO 12
105181,07 TO 09
105182,04 TO 06
105183,07 TO 09
105184,01 TO 03
105185,07 TO 09
105186,10 TO 12
105187,04 TO 06
105188,04 TO 06
105189,01 TO 03
105190,13 TO 15
105191,04 TO 06
105192,10 TO 12
105193,04 TO 06
105194,01 TO 03
105195,10 TO 12
105196,10 TO 12
105197,16 TO 18
105198,13 TO 15
105199,25 TO 27
105200,01 TO 03
105201,07 TO 09
105202,10 TO 12
105203,10 TO 12
105204,04 TO 06
105205,07 TO 09
105206,10 TO 12
105207,10 TO 12
105208,07 TO 09
105209,04 TO 06
105210,04 TO 06
105211,13 TO 15
105212,04 TO 06
105213,04 TO 06
105214,16 TO 18
105215,10 TO 12
105216,07 TO 09
105217,04 TO 06
105218,07 TO 09
105219,07 TO 09
105220,01 TO 03
105221,04 TO 06
105222,10 TO 12
105223,25 TO 27
105224,10 TO 12
105225,04 TO 06
105226,04 TO 06
105227,10 TO 12
105228,16 TO 18
105229,13 TO 15
105230,04 TO 06
105231,10 TO 12
105232,01 TO 03
105233,10 TO 12
105234,04 TO 06
105235,07 TO 09
105236,04 TO 06
105237,07 TO 09
105238,13 TO 15
105239,13 TO 15
105240,07 TO 09
105241,10 TO 12
105242,16 TO 18
105243,07 TO 09
105244,01 TO 03
105245,13 TO 15
105246,01 TO 03
105247,07 TO 09
105248,07 TO 09
105249,10 TO 12
105250,01 TO 03
105251,01 TO 03
105252,01 TO 03
105253,07 TO 09
105254,13 TO 15
105255,07 TO 09
105256,10 TO 12
105257,10 TO 12
105258,07 TO 09
105259,07 TO 09
105260,10 TO 12
105261,01 TO 03
105262,01 TO 03
105263,07 TO 09
105264,07 TO 09
105265,13 TO 15
105266,13 TO 15
105267,01 TO 03
105268,13 TO 15
105269,04 TO 06
105270,10 TO 12
105271,04 TO 06
105272,25 TO 27
105273,01 TO 03
105274,13 TO 15
105275,13 TO 15
105276,16 TO 18
105277,07 TO 09
105278,07 TO 09
105279,07 TO 09
105280,04 TO 06
105281,01 TO 03
105282,13 TO 15
105283,07 TO 09
105284,10 TO 12
105285,07 TO 09
105286,13 TO 15
105287,07 TO 09
105288,04 TO 06
105289,13 TO 15
105290,10 TO 12
105291,13 TO 15
105292,10 TO 12
105293,04 TO 06
105294,01 TO 03
105295,37 TO 39
105296,13 TO 15
105297,22 TO 24
105298,01 TO 03
105299,19 TO 21
105300,13 TO 15
105301,01 TO 03
105302,01 TO 03
105303,04 TO 06
105304,04 TO 06
105305,22 TO 24
105306,10 TO 12
105307,04 TO 06
105308,01 TO 03
105309,04 TO 06
105310,07 TO 09
105311,07 TO 09
105312,04 TO 06
105313,04 TO 06
105314,04 TO 06
105315,07 TO 09
105316,07 TO 09
105317,04 TO 06
105318,07 TO 09
105319,13 TO 15
105320,13 TO 15
105321,10 TO 12
105322,04 TO 06
105323,07 TO 09
105324,04 TO 06
105325,04 TO 06
105326,07 TO 09
105327,01 TO 03
105328,13 TO 15
105329,13 TO 15
105330,04 TO 06
105331,04 TO 06
105332,04 TO 06
105333,07 TO 09
105334,07 TO 09
105335,07 TO 09
105336,10 TO 12
105337,07 TO 09
105338,01 TO 03
105339,13 TO 15
105340,07 TO 09
105341,01 TO 03
105342,10 TO 12
105343,13 TO 15
105344,04 TO 06
105345,01 TO 03
105346,07 TO 09
105347,10 TO 12
105348,07 TO 09
105349,10 TO 12
105350,13 TO 15
105351,04 TO 06
105352,01 TO 03
105353,04 TO 06
105354,07 TO 09
105355,01 TO 03
